t_ms,Vc_V,ic_mA
54.327164,3.71435720,0.12856428
54.427214,3.71756890,0.12824311
54.527264,3.72077257,0.12792274
54.627314,3.72396824,0.12760318
54.727364,3.72715593,0.12728441
54.827414,3.73033566,0.12696643
54.927464,3.73350744,0.12664926
55.027514,3.73667129,0.12633287
55.127564,3.73982725,0.12601728
55.227614,3.74297532,0.12570247
55.327664,3.74611552,0.12538845
55.427714,3.74924788,0.12507521
55.527764,3.75237242,0.12476276
55.627814,3.75548915,0.12445109
55.727864,3.75859809,0.12414019
55.827914,3.76169927,0.12383007
55.927964,3.76479270,0.12352073
56.028014,3.76787840,0.12321216
56.128064,3.77095639,0.12290436
56.228114,3.77402670,0.12259733
56.328164,3.77708933,0.12229107
56.428214,3.78014432,0.12198557
56.528264,3.78319167,0.12168083
56.628314,3.78623141,0.12137686
56.728364,3.78926355,0.12107364
56.828414,3.79228812,0.12077119
56.928464,3.79530514,0.12046949
57.028514,3.79831462,0.12016854
57.128564,3.80131658,0.11986834
57.228614,3.80431104,0.11956890
57.328664,3.80729802,0.11927020
57.428714,3.81027754,0.11897225
57.528764,3.81324961,0.11867504
57.628814,3.81621427,0.11837857
57.728864,3.81917151,0.11808285
57.828914,3.82212137,0.11778786
57.928964,3.82506386,0.11749361
58.029015,3.82799899,0.11720010
58.129065,3.83092680,0.11690732
58.229115,3.83384729,0.11661527
58.329165,3.83676049,0.11632395
58.429215,3.83966640,0.11603336
58.529265,3.84256506,0.11574349
58.629315,3.84545648,0.11545435
58.729365,3.84834067,0.11516593
58.829415,3.85121766,0.11487823
58.929465,3.85408746,0.11459125
59.029515,3.85695010,0.11430499
59.129565,3.85980558,0.11401944
59.229615,3.86265393,0.11373461
59.329665,3.86549516,0.11345048
59.429715,3.86832929,0.11316707
59.529765,3.87115635,0.11288437
59.629815,3.87397634,0.11260237
59.729865,3.87678929,0.11232107
59.829915,3.87959521,0.11204048
59.929965,3.88239412,0.11176059
60.030015,3.88518604,0.11148140
60.130065,3.88797099,0.11120290
60.230115,3.89074897,0.11092510
60.330165,3.89352002,0.11064800
60.430215,3.89628415,0.11037159
60.530265,3.89904137,0.11009586
60.630315,3.90179170,0.10982083
60.730365,3.90453516,0.10954648
60.830415,3.90727177,0.10927282
60.930465,3.91000154,0.10899985
61.030515,3.91272449,0.10872755
61.130565,3.91544064,0.10845594
61.230615,3.91815001,0.10818500
61.330665,3.92085261,0.10791474
61.430715,3.92354845,0.10764515
61.530765,3.92623756,0.10737624
61.630815,3.92891995,0.10710800
61.730865,3.93159565,0.10684044
61.830915,3.93426465,0.10657353
61.930965,3.93692699,0.10630730
62.031016,3.93958268,0.10604173
62.131066,3.94223174,0.10577683
62.231116,3.94487418,0.10551258
62.331166,3.94751001,0.10524900
62.431216,3.95013926,0.10498607
62.531266,3.95276195,0.10472381
62.631316,3.95537808,0.10446219
62.731366,3.95798768,0.10420123
62.831416,3.96059075,0.10394092
62.931466,3.96318733,0.10368127
63.031516,3.96577742,0.10342226
63.131566,3.96836103,0.10316390
63.231616,3.97093820,0.10290618
63.331666,3.97350892,0.10264911
63.431716,3.97607322,0.10239268
63.531766,3.97863112,0.10213689
63.631816,3.98118263,0.10188174
63.731866,3.98372776,0.10162722
63.831916,3.98626654,0.10137335
63.931966,3.98879897,0.10112010
64.032016,3.99132508,0.10086749
64.132066,3.99384487,0.10061551
64.232116,3.99635837,0.10036416
64.332166,3.99886560,0.10011344
64.432216,4.00136656,0.09986334
64.532266,4.00386127,0.09961387
64.632316,4.00634975,0.09936503
64.732366,4.00883201,0.09911680
64.832416,4.01130807,0.09886919
64.932466,4.01377795,0.09862221
65.032516,4.01624165,0.09837583
65.132566,4.01869920,0.09813008
65.232616,4.02115062,0.09788494
65.332666,4.02359590,0.09764041
65.432716,4.02603508,0.09739649
65.532766,4.02846817,0.09715318
65.632816,4.03089518,0.09691048
65.732866,4.03331612,0.09666839
65.832916,4.03573102,0.09642690
65.932966,4.03813989,0.09618601
66.033017,4.04054273,0.09594573
66.133067,4.04293958,0.09570604
66.233117,4.04533043,0.09546696
66.333167,4.04771532,0.09522847
66.433217,4.05009424,0.09499058
66.533267,4.05246723,0.09475328
66.633317,4.05483428,0.09451657
66.733367,4.05719542,0.09428046
66.833417,4.05955067,0.09404493
66.933467,4.06190003,0.09381000
67.033517,4.06424352,0.09357565
67.133567,4.06658116,0.09334188
67.233617,4.06891295,0.09310870
67.333667,4.07123893,0.09287611
67.433717,4.07355909,0.09264409
67.533767,4.07587345,0.09241265
67.633817,4.07818204,0.09218180
67.733867,4.08048485,0.09195151
67.833917,4.08278192,0.09172181
67.933967,4.08507324,0.09149268
68.034017,4.08735884,0.09126412
68.134067,4.08963873,0.09103613
68.234117,4.09191293,0.09080871
68.334167,4.09418145,0.09058186
68.434217,4.09644429,0.09035557
68.534267,4.09870149,0.09012985
68.634317,4.10095305,0.08990470
68.734367,4.10319898,0.08968010
68.834417,4.10543930,0.08945607
68.934467,4.10767402,0.08923260
69.034517,4.10990317,0.08900968
69.134567,4.11212674,0.08878733
69.234617,4.11434476,0.08856552
69.334667,4.11655723,0.08834428
69.434717,4.11876419,0.08812358
69.534767,4.12096562,0.08790344
69.634817,4.12316156,0.08768384
69.734867,4.12535201,0.08746480
69.834917,4.12753699,0.08724630
69.934967,4.12971651,0.08702835
70.035018,4.13189059,0.08681094
70.135068,4.13405924,0.08659408
70.235118,4.13622247,0.08637775
70.335168,4.13838029,0.08616197
70.435218,4.14053272,0.08594673
70.535268,4.14267978,0.08573202
70.635318,4.14482147,0.08551785
70.735368,4.14695782,0.08530422
70.835418,4.14908882,0.08509112
70.935468,4.15121451,0.08487855
71.035518,4.15333488,0.08466651
71.135568,4.15544995,0.08445500
71.235618,4.15755974,0.08424403
71.335668,4.15966427,0.08403357
71.435718,4.16176353,0.08382365
71.535768,4.16385755,0.08361425
71.635818,4.16594634,0.08340537
71.735868,4.16802991,0.08319701
71.835918,4.17010827,0.08298917
71.935968,4.17218145,0.08278186
72.036018,4.17424944,0.08257506
72.136068,4.17631227,0.08236877
72.236118,4.17836994,0.08216301
72.336168,4.18042248,0.08195775
72.436218,4.18246989,0.08175301
72.536268,4.18451218,0.08154878
72.636318,4.18654937,0.08134506
72.736368,4.18858147,0.08114185
72.836418,4.19060850,0.08093915
72.936468,4.19263046,0.08073695
73.036518,4.19464737,0.08053526
73.136568,4.19665924,0.08033408
73.236618,4.19866608,0.08013339
73.336668,4.20066792,0.07993321
73.436718,4.20266475,0.07973353
73.536768,4.20465659,0.07953434
73.636818,4.20664346,0.07933565
73.736868,4.20862536,0.07913746
73.836918,4.21060232,0.07893977
73.936968,4.21257433,0.07874257
74.037019,4.21454142,0.07854586
74.137069,4.21650359,0.07834964
74.237119,4.21846086,0.07815391
74.337169,4.22041325,0.07795868
74.437219,4.22236075,0.07776392
74.537269,4.22430339,0.07756966
74.637319,4.22624118,0.07737588
74.737369,4.22817412,0.07718259
74.837419,4.23010224,0.07698978
74.937469,4.23202554,0.07679745
75.037519,4.23394404,0.07660560
75.137569,4.23585774,0.07641423
75.237619,4.23776667,0.07622333
75.337669,4.23967082,0.07603292
75.437719,4.24157022,0.07584298
75.537769,4.24346487,0.07565351
75.637819,4.24535479,0.07546452
75.737869,4.24723999,0.07527600
75.837919,4.24912048,0.07508795
75.937969,4.25099627,0.07490037
76.038019,4.25286737,0.07471326
76.138069,4.25473380,0.07452662
76.238119,4.25659557,0.07434044
76.338169,4.25845269,0.07415473
76.438219,4.26030517,0.07396948
76.538269,4.26215302,0.07378470
76.638319,4.26399625,0.07360037
76.738369,4.26583488,0.07341651
76.838419,4.26766892,0.07323311
76.938469,4.26949837,0.07305016
77.038519,4.27132326,0.07286767
77.138569,4.27314358,0.07268564
77.238619,4.27495936,0.07250406
77.338669,4.27677060,0.07232294
77.438719,4.27857732,0.07214227
77.538769,4.28037952,0.07196205
77.638819,4.28217723,0.07178228
77.738869,4.28397044,0.07160296
77.838919,4.28575917,0.07142408
77.938969,4.28754343,0.07124566
78.039020,4.28932324,0.07106768
78.139070,4.29109860,0.07089014
78.239120,4.29286952,0.07071305
78.339170,4.29463602,0.07053640
78.439220,4.29639811,0.07036019
78.539270,4.29815579,0.07018442
78.639320,4.29990909,0.07000909
78.739370,4.30165800,0.06983420
78.839420,4.30340255,0.06965975
78.939470,4.30514274,0.06948573
79.039520,4.30687858,0.06931214
79.139570,4.30861008,0.06913899
79.239620,4.31033726,0.06896627
79.339670,4.31206012,0.06879399
79.439720,4.31377868,0.06862213
79.539770,4.31549295,0.06845071
79.639820,4.31720293,0.06827971
79.739870,4.31890865,0.06810914
79.839920,4.32061010,0.06793899
79.939970,4.32230730,0.06776927
80.040020,4.32400026,0.06759997
80.140070,4.32568899,0.06743110
80.240120,4.32737351,0.06726265
80.340170,4.32905381,0.06709462
80.440220,4.33072992,0.06692701
80.540270,4.33240184,0.06675982
80.640320,4.33406958,0.06659304
80.740370,4.33573316,0.06642668
80.840420,4.33739258,0.06626074
80.940470,4.33904786,0.06609521
81.040520,4.34069900,0.06593010
81.140570,4.34234602,0.06576540
81.240620,4.34398892,0.06560111
81.340670,4.34562771,0.06543723
81.440720,4.34726242,0.06527376
81.540770,4.34889304,0.06511070
81.640820,4.35051959,0.06494804
81.740870,4.35214207,0.06478579
81.840920,4.35376050,0.06462395
